frequency_Hz,S11_dB,S21_dB,S11_mag,S21_mag,power_sum,Zin_real_ohm,Zin_imag_ohm,Zin_mag_ohm
10300000000.0,0.18691906453943655,-34.31694836671269,1.0217530745709376,0.0192376749178638,1.0443494335314092,-3.849138538078014,123.99354486842284,124.05327499313715
10320000000.0,-0.09032774745812254,-36.070027267152625,0.9896545202132955,0.015721668570351694,0.9796632402412441,2.716017653633863,153.6577711659664,153.68177312741855
10340000000.0,0.10861936015244616,-34.58418425604957,1.0125837837673626,0.018654808157482064,1.0256739210160213,-2.0954172692126107,119.38493111703968,119.40331884563521
10360000000.0,-0.017224311137460528,-35.922904553259215,0.9980189427861994,0.01599023227350064,0.9962974976882437,0.47056687760034027,145.70379017517223,145.70455004768007
10380000000.0,0.03982041608086073,-34.77364098050324,1.0045950196972195,0.018252314820061045,1.0095443005967475,-0.7262319644418955,115.50164602828603,115.50392914576395
10400000000.0,0.04889745974472844,-35.81727044703967,1.0056454036646336,0.016185886014609876,1.0115846608178818,-1.2275173306461673,138.93775937020854,138.94318183203885
10420000000.0,-0.021258565979218852,-34.90686250864992,0.9975555097880768,0.017974502325776267,0.9954400778424092,0.36899182624322086,112.14398946974416,112.14459652233774
10440000000.0,0.10916253987141265,-35.73821878531416,1.0126471085615067,0.016333868720655228,1.0257209617453635,-2.538875067512844,133.02647377152093,133.0506993994905
10460000000.0,-0.07582460081657098,-34.997844989298585,0.9913083628077829,0.017787206643896814,0.9830086548928396,1.2588936272705262,109.17742228658992,109.18468001651681
10480000000.0,0.16438761835587043,-35.67503852620269,1.0191060525776523,0.016453112743852992,1.0388478513193664,-3.563879952752045,127.75102860898164,127.800729853043
10500000000.0,-0.12470653983079276,-35.0552462979426,0.9857452045781789,0.017670046203694164,0.9720058388817165,1.9880809878925403,106.50872837099146,106.52728141288532
10520000000.0,0.21509495820590083,-35.62118023233158,1.0250728899590105,0.01655544993942535,1.0510485126516145,-4.3671106916554825,122.96197483209104,123.03950142292095
10540000000.0,-0.16850010207157054,-35.08487367993138,0.9807876642031739,0.017609876734386024,0.962254550011718,2.5869955026927145,104.06966846489324,104.10181766003774
10560000000.0,0.261662846469497,-35.571734931274584,1.0305833987873658,0.01664996225984179,1.062379363099373,-4.993188661917036,118.55359636924024,118.65870025031553
10580000000.0,-0.20760273607994445,-35.090568633368484,0.9763822220612514,0.017598334501824575,0.9536319449345049,3.0765939894461813,101.80935798487853,101.85583343073212
10600000000.0,0.3043479724581132,-35.52399801484355,1.0356604666464777,0.016741720965384045,1.0728728873952826,-5.473955454837981,114.44970603491421,114.58053674075641
10620000000.0,-0.24231637417971058,-35.07466436944586,0.972487843768412,0.017630587381964345,0.9460434438887685,3.4723360639959693,99.6887415061112,99.74919699332713
10640000000.0,0.3433057802297519,-35.47522515459847,1.0403160264651738,0.01683599322341913,1.0825408855881073,-5.83273660247458,110.59347652586374,110.74717994762042
10660000000.0,-0.27283349557966596,-35.039080205087714,0.9690770871147582,0.017702964144665295,0.9394237957103319,3.785390115327112,97.67676238462124,97.75008485043362
10680000000.0,0.3786477288291073,-35.423732596326104,1.044557583598385,0.016936098473374284,1.0913873768843967,-6.087753476975563,106.9421607786881,107.11529533363198
10700000000.0,-0.2993058166654192,-34.984110155821,0.9661280896437953,0.01781535546805109,0.9337208724892223,4.024576574991854,95.74859386225201,95.8331385440676
10720000000.0,0.41042348719949207,-35.36826888089702,1.0483859071925319,0.01704458988321747,1.0994035284441952,-6.253176969863174,103.46251599932128,103.6513118061042
10740000000.0,-0.321818572715601,-34.910858308284986,0.9636272469771626,0.017966235355439196,0.9289002567296326,4.196568403683,93.88353220617655,93.97727813612704
10760000000.0,0.43866605634589545,-35.3076516687922,1.0518003301959598,0.017163956949197565,1.1065785360184839,-6.34082522961279,100.12860044930211,100.32917169262625
10780000000.0,-0.34042496714083625,-34.81930418508984,0.9615652315478419,0.018156611071111276,0.9249373570472424,4.306817020429901,92.0643979704128,92.16508040739731
10800000000.0,0.4633684670361221,-35.24059039934731,1.0547958765217187,0.01729698783723889,1.1128935269154623,-6.3603636519314835,96.91966296130718,97.12813853007886
10820000000.0,-0.35513893800046964,-34.70930141559097,0.9599377107804203,0.01838801838156071,0.9218185277983545,4.359718615364147,90.27631414385844,90.38152489201413
10840000000.0,0.48452358167902765,-35.16669085401328,1.0573680395103018,0.017444778411953073,1.1183314912717013,-6.3203240112626995,93.81915254567936,94.03180249254396
10860000000.0,-0.3659819365269135,-34.580334288890725,0.9587401237112029,0.01866307861924031,0.9195309353173206,4.3594210659048445,88.5063818520515,88.61367942124403
10880000000.0,0.5021188840013334,-35.08458290874715,1.0595121569151387,0.017610466257236654,1.1228761391727666,-6.228184130296752,90.81308038652597,91.02640192191774
10900000000.0,-0.3729280966636961,-34.43217335945451,0.9579737197423381,0.01898415766287609,0.9180740459591408,4.3093040088790255,86.74342100996319,86.85039544845299
10920000000.0,0.5161235864550402,-34.99349793461808,1.0612218402876903,0.017796110891490153,1.1265084958664542,-6.090465262580737,87.8900722576934,88.1008431774479
10940000000.0,-0.3759634048813174,-34.263905291375615,0.9576390116555153,0.01935551518602298,0.9174471126126686,4.212784801400842,84.97725944217892,85.08162068323746
10960000000.0,0.5265188344344378,-34.89241114361615,1.0624926678732705,0.018004432743150466,1.1292148288828625,-5.91317241828458,85.04020967871315,85.2455445771089
