time_s,U1_V,I1_A,U2_V,I2_A
1.31476236814e-10,7.12169123673e-08,0.3942494331,-1.3,1.3209943415645435
1.32790999182e-10,7.15384222971e-08,0.3942494331,-1.3,1.3339933127548027
1.3410576155e-10,7.1906362642e-08,0.3942494331,-1.31,1.3469933127515068
1.36735286287e-10,7.25695796788e-08,0.3942494331,-1.3,1.3799897119355335
1.38050048655e-10,7.26908906401e-08,0.3942494331,-1.3,1.3899948559677666
1.39364811023e-10,7.25385502776e-08,0.3942494331,-1.4,1.3999948559677666
1.40679573391e-10,7.20995165793e-08,0.3942494331,-1.4,1.4099948559677666
1.41994335759e-10,7.14635666199e-08,0.3942494331,-1.4,1.4309891975323104
1.43309098127e-10,7.07463163607e-08,0.3942494331,-1.41,1.4439933127548024
1.45938622864e-10,6.9682687176e-08,0.3942494331,-1.4,1.4699933127580984
1.47253385232e-10,6.96228310559e-08,0.3942494331,-1.41,1.4799948559677667
1.49882909968e-10,7.0774045291e-08,0.3942494331,-1.5,1.5099897119355337
1.51197672336e-10,7.17640800119e-08,0.3942494331,-1.5,1.5199948559677667
1.52512434704e-10,7.26798061734e-08,0.3942494331,-1.51,1.5309943415645435
1.55141959441e-10,7.33586054125e-08,0.3942494331,-1.5,1.5599925411532647
1.56456721809e-10,7.30371096935e-08,0.3942494331,3.0,1.5699948559677668
1.57771484177e-10,7.24635880189e-08,0.3942494331,1.57,1.5899897119355337
1.59086246545e-10,7.18623303086e-08,0.3942494331,-0.0,1.5999948559677668
1.60401008913e-10,7.13966334942e-08,0.3942494331,-0.0,1.6099948559677668
1.61715771281e-10,7.11198770986e-08,0.3942494331,-0.0,1.6309891975323103
1.6303053365e-10,7.09862204573e-08,0.3942494331,-0.0,1.640495113172993
1.64345296018e-10,7.09233161089e-08,0.3942494331,-0.0,1.6499951131693802
1.65660058386e-10,7.09002021537e-08,0.3942494331,-0.0,1.6599948559677666
1.66974820754e-10,7.09495777684e-08,0.3942494331,-0.0,1.6799897119355336
1.68289583122e-10,7.11380847562e-08,0.3942494331,-0.0,1.6899948559677667
1.6960434549e-10,7.14795183043e-08,0.3942494331,-0.0,1.6999948559677667
1.70919107858e-10,7.18857320336e-08,0.3942494331,-0.0,1.7209891975323104
1.74863394963e-10,7.19310575548e-08,0.3942494331,-0.0,1.7599897119355337
1.76178157331e-10,7.15232770787e-08,0.3942494331,-0.0,1.7699948559677665
1.77492919699e-10,7.11848313628e-08,0.3942494331,-0.0,1.7799948559677667
1.78807682067e-10,7.1072324026e-08,0.3942494331,-0.0,1.7999897119355337
1.80122444435e-10,7.12151964066e-08,0.3942494331,-0.0,1.8109943415645435
1.8406673154e-10,7.2077731339e-08,0.3942494331,-0.0,1.8499948559677668
1.85381493908e-10,7.20863750914e-08,0.3942494331,-0.0,1.8599948559677668
1.86696256276e-10,7.18674675326e-08,0.3942494331,-0.0,1.8799897119355335
1.88011018644e-10,7.14943224622e-08,0.3942494331,-0.0,1.8899948559677666
1.89325781012e-10,7.11273093756e-08,0.3942494331,-0.0,1.9009943415645436
1.93270068117e-10,7.12120558077e-08,0.3942494331,-0.0,1.9399948559677667
1.94584830485e-10,7.1431354165e-08,0.3942494331,-0.0,1.9499948559677667
1.95899592853e-10,7.14920842526e-08,0.3942494331,-0.0,1.9699897119355336
1.97214355221e-10,7.13611774117e-08,0.3942494331,-0.0,1.9799948559677667
1.98529117589e-10,7.11416658916e-08,0.3942494331,-0.0,1.9909943415645437
2.02473404694e-10,7.11513967744e-08,0.03942494331,-0.0,2.0299948559677667
2.03788167062e-10,7.13921108897e-08,0.03942494331,-0.0,2.0499897119355333
2.0510292943e-10,7.16268528933e-08,0.03942494331,-0.0,2.059994855967767
2.06417691798e-10,7.18044494974e-08,0.03942494331,-0.0,2.069994855967767
2.07732454166e-10,7.19015735839e-08,0.03942494331,-0.0,2.0919886831290873
2.09047216534e-10,7.19066965971e-08,0.03942494331,-0.0,2.1013285322342172
2.11676741271e-10,7.16209234142e-08,0.03942494331,-0.0,2.11999519890325
2.12991503639e-10,7.13981043177e-08,0.03942494331,-0.0,2.1399897119355336
2.14306266007e-10,7.12176371209e-08,0.03942494331,-0.0,2.149994855967767
2.15621028375e-10,7.11368164374e-08,0.03942494331,-0.0,2.159994855967767
2.16935790743e-10,7.11623071581e-08,0.03942494331,-0.0,2.1799897119355336
2.18250553111e-10,7.12563403837e-08,0.03942494331,-0.0,2.191993827152198
2.1956531548e-10,7.13666770125e-08,0.03942494331,-0.0,2.2059927983548735
2.20880077848e-10,7.14703558558e-08,0.03942494331,-0.0,2.2199927983548737
2.22194840216e-10,7.15706560683e-08,0.03942494331,-0.0,2.229994855967767
2.23509602584e-10,7.16768928655e-08,0.03942494331,-0.0,2.239994855967767
2.24824364952e-10,7.17789907512e-08,0.03942494331,-0.0,2.259989711935533
2.2613912732e-10,7.18548767153e-08,0.03942494331,-0.0,2.27199382716132
2.27453889688e-10,7.18895831753e-08,0.03942494331,-0.0,2.2846601508892945
2.30083414425e-10,7.18874231254e-08,0.03942494331,-0.0,2.30999348422584
2.31398176793e-10,7.18895192264e-08,0.03942494331,-0.0,2.319994855967767
2.32712939161e-10,7.18920096787e-08,0.03942494331,-0.0,2.3399897119355333
2.34027701529e-10,7.18723454085e-08,0.03942494331,-0.0,2.3499948559677666
2.35342463897e-10,7.18041297532e-08,0.03942494331,-0.0,2.36199382716132
2.36657226265e-10,7.16766157538e-08,0.03942494331,-0.0,2.374660150889295
2.4060151337e-10,7.11545267151e-08,0.03942494331,-0.0,2.409994855967767
2.41916275738e-10,7.10506489199e-08,0.03942494331,-0.0,2.4299897119355336
2.43231038106e-10,7.1015867853e-08,0.03942494331,-0.0,2.4399948559677664
2.44545800474e-10,7.10328960096e-08,0.03942494331,-0.0,2.4519938271613198
2.45860562842e-10,7.10760117428e-08,0.03942494331,-0.0,2.4646601508892947
2.49804849947e-10,7.1256684997e-08,0.03942494331,-0.0,2.5099897119355337
2.51119612315e-10,7.13556316256e-08,0.03942494331,-0.0,2.519994855967767
2.52434374683e-10,7.14646111177e-08,0.03942494331,-0.0,2.5299948559677667
2.53749137051e-10,7.1563674986e-08,0.03942494331,-0.0,2.551988683129087
2.55063899419e-10,7.16343420137e-08,0.03942494331,-0.0,2.564660150889295
2.59008186524e-10,7.17649433213e-08,0.03942494331,-0.0,2.5999948559677666
2.60322948892e-10,7.18071424544e-08,0.03942494331,-0.0,2.6099948559677664
2.6163771126e-10,7.18265509292e-08,0.03942494331,-0.0,2.6199948559677666
2.62952473628e-10,7.18006800682e-08,0.03942494331,-0.0,2.6419886831290866
2.64267235996e-10,7.17224386548e-08,0.03942494331,-0.0,2.6546601508892946
