time_s,U2_V
3.43152978085e-10,-0.0
3.44467740453e-10,-0.0
3.45782502821e-10,-0.0
3.47097265189e-10,-0.0
3.48412027557e-10,-0.0
3.49726789926e-10,-0.0
3.51041552294e-10,-0.0
3.52356314662e-10,-0.0
3.5367107703e-10,-0.0
3.54985839398e-10,-0.0
3.56300601766e-10,-0.0
3.57615364134e-10,-0.0
3.58930126503e-10,-0.0
3.60244888871e-10,-0.0
3.61559651239e-10,-0.0
3.62874413607e-10,-0.0
3.64189175975e-10,-0.0
3.65503938343e-10,-0.0
3.66818700711e-10,-0.0
3.6813346308e-10,-0.0
3.69448225448e-10,-0.0
3.70762987816e-10,-0.0
3.72077750184e-10,-0.0
3.73392512552e-10,-0.0
3.7470727492e-10,-0.0
3.76022037288e-10,-0.0
3.77336799657e-10,-0.0
3.78651562025e-10,-0.0
3.79966324393e-10,-0.0
3.81281086761e-10,-0.0
3.82595849129e-10,-0.0
3.83910611497e-10,-0.0
3.85225373865e-10,-0.0
3.86540136234e-10,-0.0
3.87854898602e-10,-0.0
3.8916966097e-10,-0.0
3.90484423338e-10,-0.0
3.91799185706e-10,-0.0
3.93113948074e-10,-0.0
3.94428710442e-10,-0.0
3.95743472811e-10,-0.0
3.97058235179e-10,-0.0
3.98372997547e-10,-0.0
3.99687759915e-10,-0.0
4.01002522283e-10,-0.0
4.02317284651e-10,-0.0
4.03632047019e-10,-0.0
