frequency_Hz,frequency_GHz,S11_real,S11_imag,S11_dB,S21_real,S21_imag,S21_dB,S21_phase_deg,group_delay_ns
20909014000.0,20.909014,0.7083466607361183,0.7058646118303978,-6.861397873097074e-07,-0.0002805663441203877,0.0002815529063813856,-68.01371740862366,-585.1005583702978,0.006919747670707099
20916013000.0,20.916013,0.7085613351907587,0.7056491175514549,-6.825873888295769e-07,-0.0002797536713036763,0.00028090821618436345,-68.03626084517637,-585.1179863602181,0.006913970467256992
20923012000.0,20.923012,0.708775764984241,0.705433737932106,-6.790548313900745e-07,-0.0002789436689984386,0.0002802651783588317,-68.05879502600673,-585.135399803394,0.006908200978662379
20930011000.0,20.930011,0.7089899504998469,0.7052184729152698,-6.755419905929235e-07,-0.0002781363273738733,0.0002796237883018473,-68.08131995941424,-585.1527987192459,0.0069024391904442895
20937010000.0,20.93701,0.7092038921200864,0.7050033224437945,-6.720487536117776e-07,-0.000277331636639304,0.00027898404142387304,-68.1038356536865,-585.1701831271575,0.006896685088084049
20944009000.0,20.944009,0.7094175902266984,0.7047882864604613,-6.685749999056705e-07,-0.00027652958704400035,0.00027834593314873997,-68.12634211709921,-585.1875530464765,0.006890938657235037
20951008000.0,20.951008,0.7096310452006543,0.7045733649079825,-6.651206166482564e-07,-0.00027573016887699834,0.00027770945891360965,-68.14883935791616,-585.2049084965142,0.00688519988348446
20958007000.0,20.958007,0.7098442574221587,0.704358557729004,-6.6168548329857e-07,-0.0002749333724669226,0.00027707461416893623,-68.17132738438923,-585.2222494965454,0.006879468752445991
20965006000.0,20.965006,0.7100572272706509,0.7041438648661056,-6.582694851016111e-07,-0.0002741391881818079,0.0002764413943784279,-68.19380620475853,-585.239576065809,0.006873745249865654
20972005000.0,20.972005,0.7102699551248082,0.7039292862617992,-6.5487251115969e-07,-0.00027334760642892374,0.0002758097950190106,-68.2162758272523,-585.2568882235081,0.006868029361476239
20979004000.0,20.979004,0.7104824413625471,0.7037148218585326,-6.514944457534801e-07,-0.0002725586176545984,0.00027517981158078957,-68.238736260087,-585.2741859888097,0.006862321072957593
20986003000.0,20.986003,0.7106946863610242,0.7035004715986887,-6.481351750923093e-07,-0.00027177221234404343,0.0002745514395670113,-68.26118751146728,-585.2914693808447,0.006856620370135152
20993002000.0,20.993002,0.7109066904966395,0.7032862354245857,-6.447945873141617e-07,-0.0002709883810211807,0.0002739246744940276,-68.2836295895861,-585.3087384187086,0.006850927238860815
21000001000.0,21.000001,0.7111184541450378,0.7030721132784772,-6.414725744143314e-07,-0.0002702071142484688,0.0002732995118912573,-68.30606250262464,-585.3259931214609,0.006845241664986489
21007000000.0,21.007,0.7113299776811112,0.7028581051025544,-6.381690206734926e-07,-0.00026942840262673045,0.0002726759473011489,-68.3284862587524,-585.3432335081261,0.0068395636343905435
21013999000.0,21.013999,0.7115412614789997,0.7026442108389448,-6.34883816158285e-07,-0.0002686522367949813,0.0002720539762791434,-68.3509008661272,-585.3604595976924,0.006833893132977822
21020998000.0,21.020998,0.7117523059120929,0.7024304304297144,-6.316168538283313e-07,-0.00026787860743026043,0.00027143359439363844,-68.37330633289518,-585.3776714091133,0.006828230146785516
21027997000.0,21.027997,0.7119631113530335,0.7022167638168676,-6.283680227859441e-07,-0.00026710750524745855,0.0002708147972259492,-68.39570266719087,-585.3948689613065,0.006822574661758172
21034996000.0,21.034996,0.712173678173719,0.7020032109423452,-6.251372169550743e-07,-0.00026633892099915007,0.00027019758037027307,-68.41808987713722,-585.4120522731547,0.006816926663893277
21041995000.0,21.041995,0.7123840067453008,0.701789771748031,-6.219243244737075e-07,-0.00026557284547542616,0.00026958193943365263,-68.4404679708455,-585.4292213635053,0.006811286139333902
21048994000.0,21.048994,0.7125940974381896,0.701576446175745,-6.187292479447426e-07,-0.00026480926950372524,0.00026896787003593826,-68.46283695641549,-585.446376251171,0.00680565307418341
21055993000.0,21.055993,0.7128039506220545,0.7013632341672499,-6.155518755061665e-07,-0.0002640481839486682,0.00026835536780975185,-68.48519684193542,-585.463516954929,0.006800027454478995
